mode=full
run_dir=/huyang2/double-loop/.worktrees/h120longstage-20260612T0005Z-e7f027b/runs/h120longstage-12x12-d256-l12-loop6-s9000-20260612T0005Z-e7f027b
git_sha=e7f027b193812cb6a9f7dd4bedb9af41f7cee868
git_dirty=0
device=cuda torch=2.7.0+cu126 board=12x12 box=3x4 mainline=future_seed_loop rwkv_kernel=statepassing forward_dtype=bfloat16
/opt/conda/lib/python3.10/site-packages/torch/utils/cpp_extension.py:2356: UserWarning: TORCH_CUDA_ARCH_LIST is not set, all archs for visible cards are included for compilation. 
If this is not desired, please set os.environ['TORCH_CUDA_ARCH_LIST'].
  warnings.warn(
[future_seed_loop stage=1:16-36] step=0100 ce=1.5641 total=1.5636 loop1=1.5626 loop_last=1.5641
[future_seed_loop stage=1:16-36] step=0200 ce=1.2739 total=1.2744 loop1=1.2775 loop_last=1.2739
[future_seed_loop stage=2:36-60] step=0300 ce=1.4103 total=1.4109 loop1=1.4152 loop_last=1.4103
[future_seed_loop stage=2:36-60] step=0400 ce=1.1848 total=1.1915 loop1=1.2190 loop_last=1.1848
[future_seed_loop stage=2:36-60] step=0500 ce=0.5865 total=0.6068 loop1=0.6966 loop_last=0.5865
[future_seed_loop stage=3:60-72] step=0600 ce=0.5051 total=0.5377 loop1=0.6826 loop_last=0.5051
[future_seed_loop stage=3:60-72] step=0700 ce=0.3112 total=0.3447 loop1=0.4894 loop_last=0.3112
[future_seed_loop stage=3:60-72] step=0800 ce=0.2174 total=0.2507 loop1=0.3945 loop_last=0.2174
[future_seed_loop stage=3:60-72] step=0900 ce=0.1749 total=0.2095 loop1=0.3640 loop_last=0.1749
[future_seed_loop stage=3:60-72] step=1000 ce=0.1404 total=0.1766 loop1=0.3347 loop_last=0.1404
[future_seed_loop stage=4:72-84] step=1100 ce=0.3240 total=0.3763 loop1=0.5943 loop_last=0.3240
[future_seed_loop stage=4:72-84] step=1200 ce=0.2752 total=0.3274 loop1=0.5509 loop_last=0.2752
[future_seed_loop stage=4:72-84] step=1300 ce=0.2452 total=0.2991 loop1=0.5357 loop_last=0.2452
[future_seed_loop stage=4:72-84] step=1400 ce=0.2008 total=0.2535 loop1=0.4802 loop_last=0.2008
[future_seed_loop stage=4:72-84] step=1500 ce=0.2773 total=0.3237 loop1=0.5254 loop_last=0.2773
[future_seed_loop stage=4:72-84] step=1600 ce=0.1694 total=0.2212 loop1=0.4453 loop_last=0.1694
[future_seed_loop stage=4:72-84] step=1700 ce=0.1675 total=0.2181 loop1=0.4349 loop_last=0.1675
[future_seed_loop stage=4:72-84] step=1800 ce=0.1685 total=0.2188 loop1=0.4349 loop_last=0.1685
[future_seed_loop stage=4:72-84] step=1900 ce=0.1778 total=0.2251 loop1=0.4313 loop_last=0.1778
[future_seed_loop stage=4:72-84] step=2000 ce=0.1493 total=0.1850 loop1=0.3494 loop_last=0.1493
[future_seed_loop stage=4:72-84] step=2100 ce=0.0985 total=0.1455 loop1=0.3503 loop_last=0.0985
[future_seed_loop stage=4:72-84] step=2200 ce=0.1561 total=0.2000 loop1=0.3917 loop_last=0.1561
[future_seed_loop stage=5:84-96] step=2300 ce=0.4557 total=0.5137 loop1=0.7536 loop_last=0.4557
[future_seed_loop stage=5:84-96] step=2400 ce=0.4288 total=0.4921 loop1=0.7479 loop_last=0.4288
[future_seed_loop stage=5:84-96] step=2500 ce=0.3663 total=0.4333 loop1=0.7026 loop_last=0.3663
[future_seed_loop stage=5:84-96] step=2600 ce=0.3554 total=0.4255 loop1=0.7154 loop_last=0.3554
[future_seed_loop stage=5:84-96] step=2700 ce=0.3697 total=0.4412 loop1=0.7323 loop_last=0.3697
[future_seed_loop stage=5:84-96] step=2800 ce=0.3006 total=0.3729 loop1=0.6624 loop_last=0.3006
[future_seed_loop stage=5:84-96] step=2900 ce=0.2992 total=0.3756 loop1=0.6786 loop_last=0.2992
[future_seed_loop stage=5:84-96] step=3000 ce=0.3905 total=0.4493 loop1=0.6904 loop_last=0.3905
[future_seed_loop stage=5:84-96] step=3100 ce=0.2419 total=0.3185 loop1=0.6101 loop_last=0.2419
[future_seed_loop stage=5:84-96] step=3200 ce=0.2335 total=0.3089 loop1=0.6159 loop_last=0.2335
[future_seed_loop stage=5:84-96] step=3300 ce=0.2312 total=0.3124 loop1=0.6371 loop_last=0.2312
[future_seed_loop stage=5:84-96] step=3400 ce=0.1322 total=0.2266 loop1=0.6044 loop_last=0.1322
[future_seed_loop stage=5:84-96] step=3500 ce=0.1253 total=0.1987 loop1=0.5175 loop_last=0.1253
[future_seed_loop stage=5:84-96] step=3600 ce=0.0510 total=0.1282 loop1=0.4631 loop_last=0.0510
[future_seed_loop stage=5:84-96] step=3700 ce=0.0817 total=0.1623 loop1=0.4991 loop_last=0.0817
[future_seed_loop stage=5:84-96] step=3800 ce=0.0637 total=0.1305 loop1=0.4207 loop_last=0.0637
[future_seed_loop stage=5:84-96] step=3900 ce=0.0339 total=0.0932 loop1=0.3628 loop_last=0.0339
