mode=full
run_dir=/huyang2/double-loop/.worktrees/loopresidual-h120full-20260612T091021Z-cb4ebc6/runs/loopresidual-h120-d256-l12-loop6-s9000-20260612T091056Z-cb4ebc6
git_sha=cb4ebc6ca768987931a2fec4295ff8164bc24902
git_dirty=0
device=cuda torch=2.7.0+cu126 board=12x12 box=3x4 mainline=future_seed_loop rwkv_kernel=statepassing forward_dtype=bfloat16
checkpoint_eval steps=6800,7800,8800 holes=96,108,120,132
[future_seed_loop stage=1:16-36] step=0100 ce=1.5356 total=1.5350 loop1=1.5339 loop_last=1.5356
[future_seed_loop stage=1:16-36] step=0200 ce=1.2734 total=1.2743 loop1=1.2796 loop_last=1.2734
[future_seed_loop stage=2:36-60] step=0300 ce=1.4116 total=1.4134 loop1=1.4219 loop_last=1.4116
[future_seed_loop stage=2:36-60] step=0400 ce=1.0309 total=1.0361 loop1=1.0570 loop_last=1.0309
[future_seed_loop stage=2:36-60] step=0500 ce=0.4325 total=0.4518 loop1=0.5283 loop_last=0.4325
[future_seed_loop stage=3:60-72] step=0600 ce=0.4540 total=0.4893 loop1=0.6356 loop_last=0.4540
[future_seed_loop stage=3:60-72] step=0700 ce=0.2667 total=0.3034 loop1=0.4494 loop_last=0.2667
[future_seed_loop stage=3:60-72] step=0800 ce=0.2005 total=0.2384 loop1=0.3933 loop_last=0.2005
[future_seed_loop stage=3:60-72] step=0900 ce=0.2039 total=0.2406 loop1=0.3962 loop_last=0.2039
[future_seed_loop stage=3:60-72] step=1000 ce=0.1354 total=0.1773 loop1=0.3564 loop_last=0.1354
[future_seed_loop stage=4:72-84] step=1100 ce=0.3479 total=0.3995 loop1=0.6203 loop_last=0.3479
[future_seed_loop stage=4:72-84] step=1200 ce=0.2955 total=0.3556 loop1=0.5991 loop_last=0.2955
[future_seed_loop stage=4:72-84] step=1300 ce=0.2485 total=0.3087 loop1=0.5634 loop_last=0.2485
[future_seed_loop stage=4:72-84] step=1400 ce=0.2023 total=0.2619 loop1=0.5163 loop_last=0.2023
[future_seed_loop stage=4:72-84] step=1500 ce=0.2328 total=0.2912 loop1=0.5380 loop_last=0.2328
[future_seed_loop stage=4:72-84] step=1600 ce=0.1809 total=0.2370 loop1=0.4760 loop_last=0.1809
[future_seed_loop stage=4:72-84] step=1700 ce=0.1695 total=0.2275 loop1=0.4730 loop_last=0.1695
[future_seed_loop stage=4:72-84] step=1800 ce=0.1768 total=0.2341 loop1=0.4755 loop_last=0.1768
[future_seed_loop stage=4:72-84] step=1900 ce=0.1873 total=0.2368 loop1=0.4549 loop_last=0.1873
[future_seed_loop stage=4:72-84] step=2000 ce=0.1406 total=0.1881 loop1=0.3956 loop_last=0.1406
[future_seed_loop stage=4:72-84] step=2100 ce=0.1202 total=0.1744 loop1=0.4064 loop_last=0.1202
[future_seed_loop stage=4:72-84] step=2200 ce=0.1496 total=0.1986 loop1=0.4064 loop_last=0.1496
[future_seed_loop stage=5:84-96] step=2300 ce=0.4345 total=0.5051 loop1=0.7844 loop_last=0.4345
[future_seed_loop stage=5:84-96] step=2400 ce=0.4305 total=0.5051 loop1=0.7807 loop_last=0.4305
[future_seed_loop stage=5:84-96] step=2500 ce=0.3340 total=0.4078 loop1=0.7041 loop_last=0.3340
[future_seed_loop stage=5:84-96] step=2600 ce=0.4070 total=0.4730 loop1=0.7467 loop_last=0.4070
[future_seed_loop stage=5:84-96] step=2700 ce=0.3695 total=0.4455 loop1=0.7375 loop_last=0.3695
[future_seed_loop stage=5:84-96] step=2800 ce=0.3213 total=0.4001 loop1=0.7015 loop_last=0.3213
[future_seed_loop stage=5:84-96] step=2900 ce=0.3297 total=0.4097 loop1=0.7232 loop_last=0.3297
[future_seed_loop stage=5:84-96] step=3000 ce=0.3570 total=0.4271 loop1=0.7076 loop_last=0.3570
[future_seed_loop stage=5:84-96] step=3100 ce=0.2579 total=0.3410 loop1=0.6537 loop_last=0.2579
[future_seed_loop stage=5:84-96] step=3200 ce=0.2701 total=0.3515 loop1=0.6681 loop_last=0.2701
[future_seed_loop stage=5:84-96] step=3300 ce=0.2672 total=0.3501 loop1=0.6633 loop_last=0.2672
[future_seed_loop stage=5:84-96] step=3400 ce=0.2915 total=0.3767 loop1=0.6987 loop_last=0.2915
[future_seed_loop stage=5:84-96] step=3500 ce=0.2382 total=0.3143 loop1=0.6119 loop_last=0.2382
[future_seed_loop stage=5:84-96] step=3600 ce=0.2175 total=0.2956 loop1=0.5935 loop_last=0.2175
[future_seed_loop stage=5:84-96] step=3700 ce=0.2440 total=0.3314 loop1=0.6636 loop_last=0.2440
[future_seed_loop stage=5:84-96] step=3800 ce=0.1678 total=0.2648 loop1=0.6434 loop_last=0.1678
[future_seed_loop stage=5:84-96] step=3900 ce=0.1376 total=0.2254 loop1=0.5839 loop_last=0.1376
[future_seed_loop stage=5:84-96] step=4000 ce=0.1065 total=0.1975 loop1=0.5802 loop_last=0.1065
[future_seed_loop stage=6:96-108] step=4100 ce=0.4278 total=0.5587 loop1=1.0304 loop_last=0.4278
[future_seed_loop stage=6:96-108] step=4200 ce=0.4413 total=0.5821 loop1=1.0757 loop_last=0.4413
[future_seed_loop stage=6:96-108] step=4300 ce=0.4146 total=0.5510 loop1=1.0590 loop_last=0.4146
[future_seed_loop stage=6:96-108] step=4400 ce=0.3886 total=0.5090 loop1=0.9759 loop_last=0.3886
[future_seed_loop stage=6:96-108] step=4500 ce=0.2883 total=0.4141 loop1=0.9151 loop_last=0.2883
[future_seed_loop stage=6:96-108] step=4600 ce=0.2737 total=0.3917 loop1=0.8715 loop_last=0.2737
[future_seed_loop stage=6:96-108] step=4700 ce=0.2383 total=0.3538 loop1=0.8152 loop_last=0.2383
[future_seed_loop stage=6:96-108] step=4800 ce=0.1978 total=0.3249 loop1=0.8299 loop_last=0.1978
[future_seed_loop stage=6:96-108] step=4900 ce=0.2327 total=0.3548 loop1=0.8454 loop_last=0.2327
[future_seed_loop stage=6:96-108] step=5000 ce=0.2270 total=0.3379 loop1=0.7963 loop_last=0.2270
[future_seed_loop stage=6:96-108] step=5100 ce=0.2064 total=0.3276 loop1=0.8201 loop_last=0.2064
[future_seed_loop stage=6:96-108] step=5200 ce=0.1516 total=0.2607 loop1=0.7191 loop_last=0.1516
[future_seed_loop stage=6:96-108] step=5300 ce=0.2034 total=0.3179 loop1=0.7825 loop_last=0.2034
[future_seed_loop stage=6:96-108] step=5400 ce=0.2221 total=0.3251 loop1=0.7673 loop_last=0.2221
[future_seed_loop stage=6:96-108] step=5500 ce=0.2091 total=0.3070 loop1=0.7044 loop_last=0.2091
[future_seed_loop stage=6:96-108] step=5600 ce=0.1818 total=0.2800 loop1=0.6854 loop_last=0.1818
[future_seed_loop stage=6:96-108] step=5700 ce=0.1762 total=0.2810 loop1=0.7069 loop_last=0.1762
[future_seed_loop stage=6:96-108] step=5800 ce=0.1548 total=0.2520 loop1=0.6664 loop_last=0.1548
[future_seed_loop stage=7:108-120] step=5900 ce=0.8244 total=0.9585 loop1=1.4185 loop_last=0.8244
[future_seed_loop stage=7:108-120] step=6000 ce=0.7905 total=0.9221 loop1=1.4103 loop_last=0.7905
[future_seed_loop stage=7:108-120] step=6100 ce=0.7561 total=0.8904 loop1=1.3840 loop_last=0.7561
[future_seed_loop stage=7:108-120] step=6200 ce=0.6336 total=0.7949 loop1=1.3753 loop_last=0.6336
[future_seed_loop stage=7:108-120] step=6300 ce=0.6582 total=0.8024 loop1=1.3323 loop_last=0.6582
[future_seed_loop stage=7:108-120] step=6400 ce=0.6210 total=0.7770 loop1=1.3539 loop_last=0.6210
[future_seed_loop stage=7:108-120] step=6500 ce=0.5401 total=0.7034 loop1=1.3095 loop_last=0.5401
[future_seed_loop stage=7:108-120] step=6600 ce=0.5497 total=0.7165 loop1=1.3354 loop_last=0.5497
[future_seed_loop stage=7:108-120] step=6700 ce=0.5073 total=0.6831 loop1=1.3312 loop_last=0.5073
[future_seed_loop stage=7:108-120] step=6800 ce=0.4452 total=0.6144 loop1=1.2495 loop_last=0.4452
[checkpoint_eval step=6800 holes120] loop6 exact=0.0000 blank=0.6178
[future_seed_loop stage=7:108-120] step=6900 ce=0.4948 total=0.6601 loop1=1.2744 loop_last=0.4948
[future_seed_loop stage=7:108-120] step=7000 ce=0.5141 total=0.6648 loop1=1.2564 loop_last=0.5141
[future_seed_loop stage=7:108-120] step=7100 ce=0.4898 total=0.6401 loop1=1.2396 loop_last=0.4898
