metric,base,futureseed,delta_futureseed_minus_base
all/accuracy,0.5158277587890625,0.5576755981445313,0.04184783935546876
all/exact_accuracy,0.0,0.0,0.0
all/lm_loss,1.415114990234375,1.39032275390625,-0.024792236328124995
all/total_loss,1.4784158935546876,1.453617919921875,-0.024797973632812553
all/residual_of_1_steps,593.314,587.955,-5.358999999999924
all/residual_of_2_steps,557.836,561.224,3.3880000000000337
all/residual_of_3_steps,487.459,489.844,2.384999999999991
all/residual_of_4_steps,468.964,474.317,5.353000000000009
all/residual_of_5_steps,449.392,453.428,4.036000000000001
all/residual_of_6_steps,456.122,463.189,7.067000000000007
all/residual_of_7_steps,462.407,470.852,8.444999999999993
all/residual_of_8_steps,471.817,482.472,10.654999999999973
all/residual_of_9_steps,478.105,482.882,4.776999999999987
all/residual_of_10_steps,459.771,464.946,5.175000000000011
all/residual_of_11_steps,465.462,468.376,2.9139999999999873
all/residual_of_12_steps,458.542,459.772,1.2300000000000182
all/residual_of_13_steps,454.005,454.515,0.5099999999999909
all/residual_of_14_steps,442.373,444.267,1.8940000000000055
all/residual_of_15_steps,439.584,441.129,1.545000000000016
all/residual_of_16_steps,436.811,437.06,0.24900000000002365
all/zH_zL_cos_sim,0.7976380004882813,0.8031514892578125,0.005513488769531283
all/zH_zL_pearson,0.7989861450195312,0.80447265625,0.005486511230468727
all/zH_mean,-0.01591940212249756,-0.018598663330078126,-0.002679261207580566
all/zL_mean,0.019506162643432617,0.015940608978271483,-0.0035655536651611336
all/zH_std,1.1471773681640625,1.15192919921875,0.004751831054687461
all/zL_std,1.148179443359375,1.1482470703125,6.762695312501066e-05
